batch_size,run,ttft_p50_ms,ttft_p95_ms,tbt_p50_ms,tbt_p95_ms,throughput_tok_s
1,baseline,226.99384205043316,228.63331297412515,7.577799027785659,7.581233978271484,2350.441716183307
4,baseline,210.30797879211605,768.6369197908789,8.334606187418103,8.3403040189296,2837.0413776980795
8,baseline,170.66013906151056,226.4216491021216,8.343521039932966,8.352919947355986,3500.9143834086167
16,baseline,163.92500512301922,207.64513406902552,8.33819410763681,8.350304095074534,3516.0376064972434
1,fused,168.18181495182216,169.79230800643563,7.8775950241833925,7.879692129790783,2341.7584246305446
4,fused,179.1829038411379,227.6489590294659,8.555606938898563,8.562852162867785,3002.931332041448
8,fused,167.64044389128685,220.3205928672105,8.55976203456521,8.574216859415174,3426.041623760304
16,fused,167.00850403867662,199.69923794269562,8.561648894101381,8.57307598926127,3437.33782451235
